t,u0,u1
4.634634634634634764e+00,2.684919775512932816e+00,8.520915463020597436e-01
4.644644644644644771e+00,2.680650147718643961e+00,8.536579200048650673e-01
4.654654654654654777e+00,2.676365106478741485e+00,8.552017773637227149e-01
4.664664664664664784e+00,2.672066586529769694e+00,8.567223997299805438e-01
4.674674674674674790e+00,2.667756540407722810e+00,8.582190775632443369e-01
4.684684684684684797e+00,2.663436938448044522e+00,8.596911104313778029e-01
4.694694694694694803e+00,2.659109768785627548e+00,8.611378070105024651e-01
4.704704704704704810e+00,2.654777037354815405e+00,8.625584850849978835e-01
4.714714714714714816e+00,2.650440767889399307e+00,8.639524715475014327e-01
4.724724724724724823e+00,2.646103001922621267e+00,8.653191023989084130e-01
4.734734734734734829e+00,2.641765798787172770e+00,8.666577227483720502e-01
4.744744744744744835e+00,2.637431235615194325e+00,8.679676868133031631e-01
4.754754754754754842e+00,2.633101407338275912e+00,8.692483579193710508e-01
4.764764764764764848e+00,2.628778426687457426e+00,8.704991085005024942e-01
4.774774774774774855e+00,2.624464424193228229e+00,8.717193200988821999e-01
4.784784784784784861e+00,2.620161548185527156e+00,8.729083833649528001e-01
4.794794794794794868e+00,2.615871964793742066e+00,8.740656980574149637e-01
4.804804804804804874e+00,2.611597857946711176e+00,8.751906730432271742e-01
4.814814814814814881e+00,2.607341429372721731e+00,8.762827262976058407e-01
4.824824824824824887e+00,2.603104898599510442e+00,8.773412849040250761e-01
4.834834834834834894e+00,2.598890502954263937e+00,8.783657850542171408e-01
4.844844844844844900e+00,2.594700497563617425e+00,8.793556720481721101e-01
4.854854854854854906e+00,2.590537155353657361e+00,8.803104002941378736e-01
4.864864864864864913e+00,2.586402767049917895e+00,8.812294333086203579e-01
4.874874874874874919e+00,2.582299641177383975e+00,8.821122437163833041e-01
4.884884884884884926e+00,2.578230104060488692e+00,8.829583132504483789e-01
4.894894894894894932e+00,2.574196499823116380e+00,8.837671327520950637e-01
4.904904904904904939e+00,2.570201190388599510e+00,8.845382021708609876e-01
4.914914914914914945e+00,2.566246555479720914e+00,8.852710305645412614e-01
4.924924924924924952e+00,2.562334992618712448e+00,8.859651360991893654e-01
4.934934934934934958e+00,2.558468917127255882e+00,8.866200460491163726e-01
4.944944944944944965e+00,2.554650762126481567e+00,8.872352967968912818e-01
4.954954954954954971e+00,2.550882978536971102e+00,8.878104338333410173e-01
4.964964964964964977e+00,2.547168035078753778e+00,8.883450117575505400e-01
4.974974974974974984e+00,2.543508418271309246e+00,8.888385942768625148e-01
4.984984984984984990e+00,2.539896642779108316e+00,8.892930439254719266e-01
4.994994994994994997e+00,2.536324496167066567e+00,8.897096269513006250e-01
5.005005005005005003e+00,2.532797780967295243e+00,8.900859829443218407e-01
5.015015015015015010e+00,2.529322166761901247e+00,8.904198517326304962e-01
5.025025025025025016e+00,2.525903136687098094e+00,8.907090865864408791e-01
5.035035035035035023e+00,2.522545987433205017e+00,8.909516542180861975e-01
