epoch,parameter1,parameter2
662,-1.9986693,0.0008664939
663,-1.9986688,0.0008553497
664,-1.9986776,0.00084891554
665,-1.9986677,0.0008241085
666,-1.9986676,0.0008367992
667,-1.9986719,0.0008419341
668,-1.9986751,0.0008333116
669,-1.998673,0.00084039755
670,-1.9986696,0.00082890585
671,-1.9986689,0.00083564897
672,-1.9986705,0.0008467671
673,-1.9986736,0.00084822817
674,-1.9986694,0.0008485412
675,-1.9986684,0.00082928926
676,-1.9986761,0.0008581226
677,-1.9986738,0.000833284
678,-1.9986697,0.0008316547
679,-1.9986682,0.0007978364
680,-1.9986664,0.00080164237
681,-1.9986728,0.00084045244
682,-1.9986697,0.00082333526
683,-1.9986699,0.00081955414
684,-1.9986722,0.00084339414
685,-1.9986688,0.0008387004
686,-1.9986687,0.0008475872
687,-1.9986659,0.0008265314
688,-1.9986655,0.00083875575
689,-1.9986647,0.0008515988
690,-1.9986607,0.00082898425
691,-1.9986601,0.0008197212
692,-1.9986572,0.000844679
693,-1.9986584,0.00084652123
694,-1.998662,0.0008526966
695,-1.9986608,0.000830172
696,-1.998656,0.00082660397
697,-1.9986572,0.00082464924
698,-1.9986514,0.0008195466
699,-1.9986514,0.0008495417
700,-1.9986467,0.00083307194
701,-1.998646,0.00080939865
702,-1.9986501,0.0007955323
703,-1.9986446,0.0007815982
704,-1.9986405,0.0007682711
705,-1.9986446,0.0007489245
706,-1.9986417,0.00073886313
707,-1.9986411,0.0007584965
708,-1.9986407,0.00075499766
709,-1.9986432,0.0007539982
710,-1.9986446,0.0008022659
711,-1.9986424,0.00077909825
712,-1.9986433,0.0008321935
713,-1.9986346,0.00076864957
714,-1.9986433,0.0007674401
715,-1.9986415,0.00076472684
716,-1.9986361,0.00077133765
717,-1.9986298,0.0007793591
718,-1.9986317,0.0007359264
719,-1.9986291,0.0008076778
720,-1.9986254,0.000749158
721,-1.9986335,0.00075743627
722,-1.9986283,0.0007797963
723,-1.9986235,0.00076629524
724,-1.9986237,0.0006966819
725,-1.9986228,0.00072012196
726,-1.9986237,0.0006569651
727,-1.9986175,0.0007541846
728,-1.9986162,0.00076387206
729,-1.9986147,0.00079574867
730,-1.9986159,0.00076933077
731,-1.9986218,0.00080310035
732,-1.9986213,0.0007914174
733,-1.9986205,0.00083361886
734,-1.9986233,0.00080632936
735,-1.9986163,0.00078907644
736,-1.9986173,0.0007872595
737,-1.9986176,0.00076647376
738,-1.9986193,0.0007877811
739,-1.9986223,0.00079874904
740,-1.99862,0.00075019046
741,-1.9986176,0.00073946145
742,-1.9986168,0.00071954745
743,-1.9986182,0.00065452355
744,-1.9986147,0.0007014099
745,-1.9986203,0.0006694899
746,-1.9986149,0.00070066896
747,-1.9986145,0.00065463694
748,-1.9986124,0.00064416154
749,-1.9986156,0.0006616069
750,-1.9986181,0.00071423757
751,-1.9986202,0.000691408
752,-1.9986094,0.00071216724
753,-1.9986134,0.0006858554
754,-1.9986075,0.0007027198
755,-1.9986155,0.000729707
756,-1.9986069,0.00070810213
757,-1.9986068,0.0007003103
758,-1.9986107,0.0007003283
759,-1.9986051,0.0006544896
760,-1.9985957,0.00069052994
761,-1.998601,0.0006958386
762,-1.9985994,0.00070412765
763,-1.9985963,0.0006844646
764,-1.9985986,0.00068180484
765,-1.9985945,0.0006352352
766,-1.998597,0.0006536921
767,-1.9985937,0.0006486638
768,-1.9985939,0.0006608989
769,-1.9985943,0.00065590703
770,-1.9985961,0.000673236
771,-1.9985962,0.000661628
772,-1.9985938,0.00067108136
773,-1.9985914,0.00068322476
774,-1.9985926,0.0006796636
775,-1.9985908,0.00066929543
776,-1.9985898,0.0006799852
777,-1.9985889,0.0006525318
778,-1.9985896,0.0006742713
779,-1.99859,0.00068623584
780,-1.9985858,0.0006582054
781,-1.9985859,0.0006746172
782,-1.9985846,0.0006853111
783,-1.9985827,0.0006687895
784,-1.9985838,0.00066829287
785,-1.9985826,0.000679223
786,-1.9985839,0.00069217366
787,-1.9985799,0.0006657479
788,-1.9985825,0.0006796381
789,-1.998579,0.00064568507
790,-1.9985794,0.0006522942
791,-1.9985754,0.0006317094
792,-1.9985738,0.0006460531
793,-1.9985716,0.0006250138
794,-1.998572,0.00064345676
795,-1.9985702,0.00063948607
796,-1.9985695,0.0006820843
797,-1.9985719,0.0006786751
798,-1.998565,0.00066867477
799,-1.9985694,0.00065956684
800,-1.9985628,0.00065633736
801,-1.9985638,0.00064795685
802,-1.9985627,0.0006684704
803,-1.9985621,0.0006496078
804,-1.9985604,0.0006390274
805,-1.9985632,0.00065855257
806,-1.9985585,0.0006650664
807,-1.9985583,0.00068275863
808,-1.9985569,0.0006466893
809,-1.9985573,0.00063916476
810,-1.9985515,0.0006624297
811,-1.9985504,0.0006313223
812,-1.9985452,0.00061427976
813,-1.9985461,0.0006032201
814,-1.9985454,0.00061642856
815,-1.9985412,0.00063606096
816,-1.9985397,0.00066208106
817,-1.9985394,0.0006536175
818,-1.9985391,0.0006504838
819,-1.9985378,0.0006464984
820,-1.9985366,0.000624096
821,-1.9985371,0.00063338835
822,-1.99853,0.00061063585
823,-1.9985304,0.00060585386
824,-1.9985315,0.00060131203
825,-1.9985268,0.00060517236
826,-1.9985278,0.00063265493
827,-1.9985301,0.00060823414
828,-1.9985243,0.0006114491
829,-1.9985267,0.0006292973
830,-1.9985275,0.0006399041
831,-1.998524,0.00063209643
832,-1.9985257,0.00063668395
833,-1.9985197,0.00061571895
834,-1.9985136,0.00065747066
835,-1.9985132,0.00063351996
836,-1.9985157,0.00061974453
837,-1.9985143,0.0006206138
838,-1.9985142,0.00061184104
839,-1.9985138,0.0005959988
840,-1.9985065,0.00060498016
841,-1.9985068,0.00060167274
842,-1.9985036,0.00060161366
843,-1.9985011,0.0006153816
844,-1.9984968,0.000592902
845,-1.9984937,0.0006013299
846,-1.998498,0.0006107783
847,-1.9984912,0.00061156775
848,-1.9984906,0.00062947033
849,-1.9984864,0.00060115627
850,-1.998491,0.00057266385
851,-1.9984906,0.0006167404
852,-1.9984922,0.0005932359
853,-1.9984856,0.0005748051
854,-1.9984871,0.0005925532
855,-1.9984894,0.0006022417
856,-1.9984868,0.00059714366
857,-1.9984816,0.000577642
858,-1.9984792,0.0005722855
859,-1.9984744,0.0005612592
860,-1.9984767,0.0006057696
861,-1.9984747,0.00058315153
862,-1.9984745,0.0005994438
863,-1.9984775,0.00061061536
864,-1.9984783,0.0006322714
865,-1.998476,0.00057539996
866,-1.998474,0.0005983607
867,-1.9984763,0.00059046765
868,-1.9984758,0.0005802692
869,-1.9984745,0.0005703835
870,-1.9984758,0.0005761676
871,-1.9984735,0.0005795905
872,-1.9984744,0.00058663706
873,-1.9984723,0.0005817033
874,-1.9984726,0.0005763367
875,-1.9984728,0.0005707701
876,-1.9984677,0.0005914153
877,-1.9984697,0.0005952865
878,-1.9984711,0.00059466145
879,-1.99847,0.00057273
880,-1.9984689,0.00057528605
881,-1.9984708,0.00057878386
882,-1.9984701,0.00058024214
883,-1.9984672,0.0005814686
884,-1.9984702,0.0005663265
885,-1.9984655,0.0005805517
886,-1.9984664,0.0005854739
887,-1.998465,0.0005743333
888,-1.9984653,0.00058308657
889,-1.9984654,0.0005476056
890,-1.9984627,0.0005683274
891,-1.9984648,0.0005853727
892,-1.9984653,0.00057303056
893,-1.9984642,0.0005794037
894,-1.9984615,0.0005763321
895,-1.9984636,0.00057618343
896,-1.9984636,0.00058506447
897,-1.9984623,0.00057216344
898,-1.998463,0.0005849188
899,-1.9984636,0.00056511356
900,-1.9984609,0.0005553464
901,-1.9984618,0.000571711
902,-1.9984623,0.00055464596
903,-1.9984633,0.000563342
