t,u1,u2,u3
2.6726727,0.9552315,-0.78551227,-0.48810303
2.6826828,0.95791656,-0.78988916,-0.47220045
2.6926928,0.96051747,-0.79413587,-0.45615768
2.7027028,0.9630333,-0.798251,-0.43997794
2.7127128,0.96546143,-0.8022321,-0.42366475
2.7227228,0.9678009,-0.80607635,-0.40722215
2.7327328,0.97005075,-0.80978197,-0.39065385
2.7427428,0.9722085,-0.8133456,-0.37396318
2.7527528,0.97427416,-0.81676656,-0.35715675
2.7627628,0.97624606,-0.82004255,-0.34023696
2.7727728,0.9781235,-0.82317036,-0.32320946
2.7827828,0.9799056,-0.8261487,-0.30607903
2.7927928,0.9815902,-0.8289756,-0.28884923
2.8028028,0.983178,-0.83164877,-0.27152628
2.8128128,0.9846677,-0.8341674,-0.25411457
2.8228228,0.9860586,-0.8365286,-0.23662005
2.8328328,0.98735,-0.83873147,-0.21904753
2.8428428,0.988542,-0.8407733,-0.20140313
2.8528528,0.98963314,-0.84265476,-0.18369137
2.8628628,0.99062437,-0.8443716,-0.1659184
2.8728728,0.9915142,-0.8459256,-0.14809047
2.8828828,0.9923033,-0.84731275,-0.13021229
2.8928928,0.9929911,-0.84853274,-0.11229031
2.9029028,0.99357754,-0.849585,-0.09433024
2.9129128,0.99406284,-0.85046834,-0.07633905
2.9229228,0.99444747,-0.85118216,-0.05832176
2.9329329,0.99473035,-0.8517254,-0.04028462
2.9429429,0.9949132,-0.8520971,-0.022233233
2.9529529,0.994995,-0.85229677,-0.004174575
2.9629629,0.994977,-0.85232383,0.013885692
2.9729729,0.9948592,-0.85217863,0.031940892
2.9829829,0.9946418,-0.85186094,0.049986675
2.9929929,0.99432594,-0.8513698,0.06801535
3.0030031,0.9939121,-0.8507057,0.08602156
3.0130131,0.99340016,-0.84986883,0.1039985
3.0230231,0.9927919,-0.84885925,0.12194212
3.0330331,0.99208736,-0.84767705,0.13984407
3.0430431,0.99128747,-0.84632355,0.1577002
3.0530531,0.99039334,-0.8447978,0.1755053
3.0630631,0.9894057,-0.84310204,0.19325174
3.0730731,0.9883254,-0.84123665,0.21093537
3.0830832,0.9871538,-0.8392016,0.22855039
3.0930932,0.98589134,-0.83699936,0.24609257
3.1031032,0.98454005,-0.83462936,0.26355523
3.1131132,0.9831001,-0.83209497,0.28093308
3.1231232,0.981573,-0.8293957,0.29822218
3.1331332,0.97996014,-0.8265353,0.31541687
3.1431432,0.9782629,-0.8235124,0.33251452
3.1531532,0.9764829,-0.8203314,0.3495077
3.1631632,0.97462016,-0.8169922,0.36639315
3.1731732,0.9726774,-0.8134981,0.38316673
3.1831832,0.97065574,-0.80985004,0.39982396
3.1931932,0.96855634,-0.8060511,0.41636103
3.2032032,0.9663812,-0.8021024,0.43277425
3.2132132,0.96413153,-0.7980072,0.4490589
3.2232232,0.9618088,-0.79376704,0.46521288
3.2332332,0.9594152,-0.7893849,0.48123175
3.2432432,0.9569522,-0.78486365,0.4971124
3.2532532,0.954421,-0.7802046,0.51285154
3.2632632,0.951824,-0.7754118,0.52844703
3.2732732,0.94916224,-0.7704875,0.54389584
3.2832832,0.9464385,-0.7654336,0.55919385
3.2932932,0.94365394,-0.7602537,0.5743403
3.3033032,0.94080997,-0.7549512,0.58933234
3.3133132,0.93791014,-0.749528,0.604167
3.3233232,0.934955,-0.7439869,0.6188427
3.3333333,0.93194675,-0.7383328,0.6333572
