epoch,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13
138,1.1682687,1.1291826,0.38147074,0.6770332,0.07551432,0.17363827,2.507995,1.455845,2.8174114,0.8158177,0.40677235,1.7631611,0.067144655
139,1.1674726,1.1271586,0.3807934,0.6749841,0.07478337,0.1724526,2.5181458,1.4573752,2.8234828,0.81684655,0.4070612,1.7639068,0.06618141
140,1.1666452,1.1254277,0.3794978,0.6733075,0.074021384,0.17133023,2.5285165,1.4591018,2.8296845,0.8178099,0.40713733,1.7650073,0.06458107
141,1.1657203,1.1235495,0.37778264,0.6721102,0.073500454,0.17040043,2.5387895,1.4607366,2.8357577,0.81860006,0.40707374,1.7662077,0.06283259
142,1.1647909,1.1215994,0.37675092,0.67054045,0.072905,0.16935234,2.5490916,1.4625008,2.8421016,0.81893104,0.40737736,1.7670296,0.061781876
143,1.1639268,1.1195972,0.3755412,0.66902614,0.07238401,0.16827783,2.5593348,1.4641192,2.8482585,0.8194741,0.40758213,1.7678593,0.060616553
144,1.1631198,1.1174965,0.37453517,0.6669887,0.07206946,0.16745557,2.5696065,1.4656829,2.8545754,0.8193893,0.40833223,1.7681335,0.06071786
145,1.1623893,1.1152546,0.3746422,0.66433245,0.07136669,0.16658,2.5799344,1.4672834,2.8608117,0.8200663,0.40924507,1.7682905,0.060963646
146,1.1616684,1.1132431,0.37343937,0.6624692,0.0709369,0.16573979,2.5901177,1.4688654,2.866962,0.8204934,0.4096739,1.7689391,0.060249772
147,1.1608074,1.1113379,0.37239566,0.6603974,0.07047186,0.16499725,2.6002254,1.4705364,2.8731425,0.82061964,0.41025284,1.7694657,0.059905592
148,1.1601015,1.1091661,0.37201488,0.65819454,0.06997676,0.1640222,2.6103249,1.472097,2.879043,0.8220543,0.41090515,1.76992,0.059582293
149,1.159259,1.1074768,0.37064338,0.65636295,0.06937316,0.16315694,2.620282,1.4737588,2.8850224,0.8227184,0.41112223,1.770807,0.058425475
150,1.1584859,1.1054932,0.36959967,0.65441096,0.06897713,0.16239335,2.6303039,1.4752667,2.8910644,0.8228169,0.41187307,1.7711326,0.058386024
151,1.1577476,1.1034238,0.36907783,0.6519387,0.0684858,0.1616106,2.6402779,1.4767652,2.8969243,0.8237775,0.41263115,1.771436,0.058424886
152,1.1569644,1.1015503,0.36813757,0.64994925,0.0678006,0.16077836,2.6501975,1.4783741,2.9028494,0.82437384,0.41297704,1.7722093,0.05742706
153,1.1561285,1.0995888,0.36718944,0.6482554,0.06736142,0.15991974,2.66001,1.4798524,2.9084342,0.8259551,0.41335604,1.7729474,0.056624405
154,1.155228,1.0977584,0.36638618,0.64652044,0.066620484,0.15908663,2.6700346,1.481561,2.914416,0.826304,0.41354322,1.7740017,0.05524295
155,1.1543108,1.0959216,0.36466348,0.6449209,0.06639759,0.15847771,2.6800556,1.4831805,2.9203243,0.82647526,0.41393107,1.7747766,0.05443718
