t,u1,u2,u3
8.488488488488489025e+00,9.305393700154075409e-01,-8.145084024312129189e-01,4.589045719671859258e-01
8.498498498498499032e+00,9.290167147268726389e-01,-8.102835162359040000e-01,4.739786527640830194e-01
8.508508508508509038e+00,9.274582770694412837e-01,-8.059315764337422472e-01,4.889439663178302142e-01
8.518518518518519045e+00,9.258650366898796280e-01,-8.014538665466479639e-01,5.037979704955733995e-01
8.528528528528529051e+00,9.242379717011552920e-01,-7.968516808350132319e-01,5.185381964683687395e-01
8.538538538538539058e+00,9.225780586824374740e-01,-7.921263242977011343e-01,5.331622487111840059e-01
8.548548548548549064e+00,9.208862726790972841e-01,-7.872791126720463106e-01,5.476678050028979117e-01
8.558558558558559071e+00,9.191635872027072995e-01,-7.823113724338550679e-01,5.620526164262998892e-01
8.568568568568569077e+00,9.174109742310417870e-01,-7.772244407974047142e-01,5.763145073680908670e-01
8.578578578578579084e+00,9.156294042080769247e-01,-7.720196657154443365e-01,5.904513755188819379e-01
8.588588588588589090e+00,9.138198460439902471e-01,-7.666984058791943557e-01,6.044611918731959133e-01
8.598598598598599096e+00,9.119832671151610892e-01,-7.612620307183466384e-01,6.183420007294669896e-01
8.608608608608609103e+00,9.101206332641705865e-01,-7.557119204010642743e-01,6.320919196900393056e-01
8.618618618618619109e+00,9.082329087998012307e-01,-7.500494658339821319e-01,6.457091396611687184e-01
8.628628628628629116e+00,9.063210564970374250e-01,-7.442760686622060806e-01,6.591919248530218045e-01
8.638638638638639122e+00,9.043860375970651511e-01,-7.383931412693138796e-01,6.725386127796764146e-01
8.648648648648649129e+00,9.024288118072721909e-01,-7.324021067773542892e-01,6.857476142591214519e-01
8.658658658658659135e+00,9.004503373012476830e-01,-7.263043990468478484e-01,6.988174134132564275e-01
8.668668668668669142e+00,8.984515707187828992e-01,-7.201014626767863192e-01,7.117465676678922382e-01
8.678678678678679148e+00,8.964334671658703568e-01,-7.137947530046329092e-01,7.245337077527510550e-01
8.688688688688689155e+00,8.943969802147044845e-01,-7.073857361063221605e-01,7.371775377014652131e-01
8.698698698698699161e+00,8.923430619036812894e-01,-7.008758887962605044e-01,7.496768348515782110e-01
8.708708708708709167e+00,8.902726627373984680e-01,-6.942666986273251517e-01,7.620304498445459318e-01
