epoch,parameter1,parameter2,parameter3,parameter4
317,2.5203154,-0.059835926,0.3226225,-0.19529301
318,2.5208957,-0.059736844,0.32264194,-0.19523472
319,2.5214531,-0.05958937,0.32264453,-0.195204
320,2.5220106,-0.05947152,0.32266566,-0.1950596
321,2.5226033,-0.059450466,0.32272148,-0.19489764
322,2.52313,-0.05929086,0.32272473,-0.19478065
323,2.5236685,-0.05914551,0.32273075,-0.19470318
324,2.524251,-0.059072748,0.32275194,-0.19462976
325,2.5248,-0.058942247,0.3227592,-0.19451723
326,2.5254169,-0.058941633,0.32280913,-0.19435517
327,2.5259264,-0.058736447,0.32278597,-0.19417186
328,2.526465,-0.05859982,0.32278275,-0.19394173
329,2.5270336,-0.05855274,0.32281005,-0.19366975
330,2.527606,-0.058525406,0.32284412,-0.19345626
331,2.5281255,-0.05840477,0.32285318,-0.19317697
332,2.5286815,-0.058350116,0.32289433,-0.19285594
333,2.5292864,-0.058346182,0.3229384,-0.19261667
334,2.529846,-0.058242407,0.32296184,-0.19241674
335,2.5303323,-0.058005475,0.32294545,-0.1922392
336,2.5308273,-0.057807144,0.3229444,-0.19205162
337,2.5313654,-0.057692856,0.32297042,-0.19175829
338,2.53191,-0.057576925,0.32298717,-0.19152361
339,2.5324628,-0.057489194,0.323011,-0.19124466
340,2.5329425,-0.0572971,0.32301673,-0.19089738
341,2.5334466,-0.057133492,0.3230186,-0.19058368
342,2.534039,-0.057139773,0.32306054,-0.19027075
343,2.5345821,-0.057044454,0.3230625,-0.18998343
344,2.5351205,-0.056956757,0.32308638,-0.18963377
345,2.5356812,-0.056894124,0.32311743,-0.1893361
346,2.5361688,-0.056663997,0.32308283,-0.18902062
347,2.536649,-0.056431152,0.32305527,-0.1886413
348,2.5372262,-0.056387022,0.3230843,-0.18825223
349,2.5377676,-0.05629653,0.32309908,-0.18783504
350,2.5382745,-0.05616784,0.32312495,-0.18741229
351,2.538741,-0.0559436,0.32311764,-0.18702261
352,2.539242,-0.05576639,0.32311574,-0.18665542
353,2.5397816,-0.055681124,0.32313818,-0.1862835
354,2.54038,-0.05573325,0.32320425,-0.1858676
355,2.540849,-0.055527594,0.32317305,-0.18543008
356,2.5413284,-0.055328924,0.3231515,-0.18505394
357,2.5418155,-0.055139445,0.32314077,-0.18465053
358,2.5423987,-0.055142067,0.3231879,-0.18425763
359,2.5429258,-0.055037685,0.3232085,-0.18383317
360,2.5434542,-0.054921456,0.3232225,-0.18341343
361,2.5439086,-0.05465837,0.32319012,-0.18299088
362,2.5444715,-0.054606732,0.32322216,-0.18254043
363,2.5449812,-0.05443868,0.32321572,-0.1821304
364,2.5454953,-0.054280084,0.3232144,-0.18170977
365,2.545972,-0.054063365,0.32319468,-0.18122068
366,2.5464842,-0.053928602,0.32320157,-0.180635
367,2.5470548,-0.053901035,0.3232353,-0.18009177
368,2.547626,-0.053882618,0.32326952,-0.17958777
369,2.5480533,-0.053589202,0.32323632,-0.17905523
370,2.548567,-0.05344403,0.32324857,-0.17855754
371,2.5490537,-0.053241093,0.32324705,-0.1780851
372,2.5495934,-0.05314871,0.32328454,-0.17753312
373,2.5501275,-0.05301931,0.32329956,-0.17702688
374,2.550605,-0.0527665,0.3232714,-0.17657019
375,2.5510757,-0.052529205,0.32325596,-0.176038
376,2.5516665,-0.05252601,0.32330605,-0.17544326
377,2.5522232,-0.052423548,0.3233218,-0.17484795
378,2.5526786,-0.052125223,0.32328326,-0.17431651
379,2.5531912,-0.051947538,0.32327348,-0.17385042
380,2.5537398,-0.051840756,0.32328862,-0.17336886
381,2.5542877,-0.051706355,0.32328984,-0.17287332
382,2.5548332,-0.051582348,0.32330143,-0.1722981
383,2.5553057,-0.05133241,0.32327875,-0.17169672
384,2.5558538,-0.051237863,0.32329977,-0.17107247
385,2.5564032,-0.051150247,0.32332456,-0.17048843
386,2.5569656,-0.051095743,0.32336435,-0.16992652
387,2.5574343,-0.050837684,0.3233396,-0.16937993
388,2.5579028,-0.050542064,0.3232966,-0.16893755
389,2.558464,-0.050442286,0.32331574,-0.1684217
390,2.5589273,-0.05015213,0.32328275,-0.16786519
391,2.5594506,-0.049978543,0.32328027,-0.16735397
392,2.5599668,-0.049769815,0.32326782,-0.16686445
393,2.5604947,-0.049593076,0.32326165,-0.16630776
394,2.5610492,-0.049487114,0.32327673,-0.16571057
395,2.5615358,-0.049247995,0.32324868,-0.16513501
396,2.562101,-0.04915438,0.32325053,-0.1645583
397,2.5626886,-0.049082864,0.32325938,-0.1639846
398,2.56321,-0.048861347,0.32322085,-0.16338177
399,2.5637288,-0.048655152,0.32319796,-0.16271214
400,2.5643353,-0.04863566,0.32322878,-0.1620427
401,2.5648415,-0.048408046,0.3232026,-0.1614603
402,2.5653977,-0.048264436,0.32320496,-0.16088441
403,2.565906,-0.04802071,0.32318354,-0.16029827
404,2.5664055,-0.047754604,0.3231552,-0.15972355
405,2.5670185,-0.047712944,0.323183,-0.15913656
406,2.56758,-0.0475704,0.32318604,-0.15852872
407,2.56811,-0.047364883,0.32317346,-0.15791568
408,2.568697,-0.047266673,0.32318377,-0.15727217
409,2.5692036,-0.0470304,0.3231677,-0.15664527
410,2.569845,-0.047036428,0.3232133,-0.1560208
411,2.5703936,-0.046818312,0.32319477,-0.155386
412,2.5710015,-0.046698444,0.32320035,-0.15482019
413,2.5714872,-0.04636326,0.3231617,-0.15415128
414,2.5720503,-0.046225596,0.32318136,-0.15339682
415,2.5725977,-0.04604856,0.32318145,-0.15277013
416,2.5731611,-0.045883507,0.3231843,-0.15221678
417,2.5737195,-0.04570454,0.32318792,-0.15164259
418,2.5742927,-0.04553368,0.32319713,-0.15105766
419,2.574797,-0.045210566,0.3231634,-0.15046962
420,2.575282,-0.044874433,0.32312116,-0.14980756
421,2.5758696,-0.04475245,0.3231247,-0.14912722
422,2.5764365,-0.044585638,0.3231153,-0.14846584
423,2.5769787,-0.04438129,0.32309595,-0.14782983
424,2.5774832,-0.044108126,0.32306245,-0.14717199
425,2.5780504,-0.04394257,0.32304683,-0.14649594
426,2.5786855,-0.043934,0.32307264,-0.14573416
427,2.5792844,-0.043838203,0.32307395,-0.14508219
428,2.579787,-0.04353411,0.3230305,-0.14443432
429,2.5803337,-0.04331549,0.32301596,-0.14377797
430,2.5809202,-0.04318905,0.32302827,-0.14312288
431,2.5814543,-0.042894546,0.3229824,-0.14253475
432,2.5819757,-0.042556398,0.3229209,-0.14198382
433,2.5825627,-0.042408377,0.3229068,-0.14140661
434,2.5831547,-0.042286396,0.32290775,-0.14075394
435,2.5837069,-0.042044207,0.32287794,-0.14014687
436,2.5842822,-0.041845035,0.32286248,-0.13939823
437,2.5849519,-0.04184258,0.3228907,-0.13862199
438,2.5855677,-0.041721147,0.32288992,-0.137803
439,2.5861974,-0.041660696,0.32291174,-0.13703376
440,2.5866919,-0.041330088,0.32287377,-0.13629141
441,2.587272,-0.041138843,0.3228584,-0.1356245
442,2.5878353,-0.040899817,0.32283,-0.13495046
443,2.5884686,-0.040799133,0.32283613,-0.13423531
444,2.5890324,-0.040559642,0.32282048,-0.13350847
445,2.5895593,-0.040223796,0.32278314,-0.13284904
446,2.5901198,-0.039978612,0.3227645,-0.1321704
447,2.5907803,-0.039931398,0.3227856,-0.13148244
448,2.5913723,-0.039702836,0.32275334,-0.13090223
449,2.5919714,-0.039517384,0.32274142,-0.13022141
450,2.5924764,-0.03914644,0.32269326,-0.12947954
451,2.5931058,-0.03901012,0.32269076,-0.12874642
452,2.5937717,-0.038978405,0.3227233,-0.12797
453,2.5943646,-0.038828727,0.32274252,-0.12710337
454,2.5950112,-0.03870723,0.322753,-0.12638101
455,2.595593,-0.038426034,0.32272822,-0.12575413
456,2.5961587,-0.038162827,0.32271755,-0.124995224
457,2.5966954,-0.037842564,0.3226887,-0.12420624
458,2.5973446,-0.037695173,0.3226826,-0.12349453
459,2.5979178,-0.03740692,0.32264644,-0.12280153
460,2.598524,-0.037238955,0.32264462,-0.12200464
461,2.5991585,-0.037106037,0.32264248,-0.12127737
462,2.5996745,-0.036732074,0.32258672,-0.12054397
463,2.6003,-0.036596123,0.32258168,-0.11976661
464,2.6009827,-0.036533047,0.32259086,-0.119092256
465,2.6016562,-0.036389828,0.32257727,-0.118439175
466,2.602243,-0.036090255,0.32254273,-0.11777265
467,2.6029356,-0.036032144,0.32256278,-0.11694065
468,2.6035912,-0.035884302,0.32255527,-0.11616273
469,2.6041143,-0.035454214,0.32247996,-0.11546923
470,2.6047103,-0.03520524,0.32244343,-0.11474851
471,2.6054595,-0.035259143,0.32246205,-0.11390342
472,2.6060724,-0.034978386,0.3224123,-0.11311367
473,2.6067603,-0.034818824,0.32238978,-0.112346455
474,2.6073878,-0.034564953,0.32236162,-0.11158543
475,2.6080275,-0.034370422,0.32235286,-0.1108427
476,2.6086128,-0.034071084,0.3223306,-0.1100576
477,2.6092236,-0.033794437,0.32230756,-0.10936365
478,2.609782,-0.033392247,0.32225552,-0.10864543
479,2.6104476,-0.03326031,0.322252,-0.10780952
480,2.6111524,-0.03319337,0.32225126,-0.10696599
481,2.611823,-0.033007212,0.32221434,-0.106229134
482,2.6124175,-0.032685213,0.32217228,-0.10543866
483,2.6131027,-0.03257237,0.3221805,-0.10460892
484,2.613721,-0.03234532,0.32217842,-0.10380347
485,2.614407,-0.03224086,0.32219535,-0.10301068
486,2.615054,-0.03204722,0.3221937,-0.102184996
487,2.6157198,-0.031854857,0.32218942,-0.10148804
488,2.6163902,-0.031614542,0.32217196,-0.10080927
489,2.6169987,-0.031214708,0.32212377,-0.10012868
490,2.617639,-0.030892663,0.3220912,-0.099406295
491,2.6183655,-0.030765701,0.32208654,-0.09870067
492,2.6189687,-0.030434716,0.32204655,-0.09794938
493,2.6196804,-0.030337168,0.32204834,-0.09714623
494,2.6202981,-0.03003252,0.3220153,-0.09638514
495,2.6209044,-0.029687488,0.32196867,-0.095631406
496,2.6215777,-0.029517354,0.3219506,-0.09482879
497,2.6223288,-0.029472753,0.32194486,-0.0939996
498,2.6230726,-0.029364904,0.32192114,-0.09320544
499,2.6236925,-0.02906658,0.3218829,-0.09235005
500,2.6244545,-0.02902504,0.32188377,-0.09157368
501,2.6250927,-0.02869157,0.3218268,-0.090807766
502,2.6258078,-0.028521802,0.32180402,-0.0899968
503,2.6264684,-0.028224306,0.32176894,-0.089223094
504,2.627126,-0.027931113,0.32173592,-0.08843868
505,2.6278105,-0.027746247,0.32173032,-0.08751315
506,2.6285558,-0.027660096,0.32173496,-0.08665375
507,2.629263,-0.027466893,0.32172066,-0.08584593
508,2.6299496,-0.027213417,0.3217004,-0.08506033
509,2.630621,-0.026956072,0.3216886,-0.08423443
510,2.6312933,-0.02671748,0.3216861,-0.08337977
511,2.631954,-0.026371036,0.321656,-0.0826679
512,2.6326277,-0.026055444,0.3216257,-0.081981406
