t,u1,u2,f1,f2
3.2932932,2.5656898,0.68961376,0.39354494,-0.47286558
3.3033032,2.5746114,0.68717265,0.39374468,-0.4725793
3.3133132,2.5834157,0.6848786,0.3939491,-0.47231916
3.3233232,2.5920994,0.6827309,0.39415675,-0.47208437
3.3333333,2.6006594,0.68072885,0.39436704,-0.4718756
3.3433433,2.6090932,0.67887086,0.39457965,-0.47169286
3.3533533,2.6173985,0.6771568,0.39479336,-0.47153646
3.3633633,2.6255739,0.6755845,0.39500785,-0.47140586
3.3733733,2.6336157,0.67415255,0.39522162,-0.47130138
3.3833833,2.6415238,0.67285943,0.3954346,-0.47122297
3.3933933,2.6492963,0.6717032,0.39564604,-0.47116977
3.4034035,2.6569316,0.6706812,0.39585507,-0.4711427
3.4134135,2.664429,0.6697917,0.396061,-0.47114074
3.4234235,2.671787,0.6690323,0.3962637,-0.4711643
3.4334335,2.6790047,0.66840017,0.39646155,-0.47121263
3.4434435,2.6860821,0.6678929,0.39665425,-0.47128558
3.4534535,2.693018,0.66750735,0.39684123,-0.4713828
3.4634635,2.6998122,0.667241,0.39702177,-0.47150388
3.4734735,2.706464,0.6670911,0.39719525,-0.47164875
3.4834836,2.712973,0.66705436,0.39736107,-0.4718169
3.4934936,2.7193396,0.66712767,0.39751846,-0.4720083
3.5035036,2.7255628,0.6673083,0.39766693,-0.47222215
3.5135136,2.7316432,0.66759294,0.39780557,-0.47245765
3.5235236,2.7375805,0.6679775,0.39793408,-0.4727155
3.5335336,2.7433743,0.6684599,0.39805177,-0.47299474
3.5435436,2.7490249,0.6690364,0.3981576,-0.47329488
3.5535536,2.7545326,0.66970354,0.3982516,-0.47361535
3.5635636,2.7598975,0.6704585,0.3983325,-0.4739561
3.5735736,2.7651193,0.67129755,0.3984003,-0.47431636
3.5835836,2.7701983,0.67221797,0.39845422,-0.4746963
3.5935936,2.7751346,0.6732158,0.39849332,-0.47509474
3.6036036,2.779929,0.6742883,0.3985176,-0.4755119
3.6136136,2.7845805,0.67543215,0.39852598,-0.47594702
3.6236236,2.7890909,0.67664427,0.39851838,-0.47639966
3.6336336,2.793459,0.6779215,0.39849404,-0.47686994
3.6436436,2.7976854,0.67926025,0.3984519,-0.47735646
3.6536536,2.8017707,0.6806581,0.39839268,-0.47785974
3.6636636,2.8057148,0.6821118,0.39831483,-0.47837922
3.6736736,2.809518,0.6836184,0.3982178,-0.47891408
3.6836836,2.8131812,0.68517464,0.39810157,-0.4794643
3.6936936,2.8167036,0.6867786,0.39796597,-0.48002964
3.7037036,2.8200862,0.6884265,0.39780974,-0.48060933
3.7137136,2.823329,0.69011605,0.3976329,-0.48120344
3.7237236,2.8264327,0.691845,0.39743522,-0.4818111
3.7337337,2.8293974,0.69361025,0.3972156,-0.48243296
3.7437437,2.8322232,0.69540906,0.39697403,-0.4830677
3.7537537,2.834911,0.69723916,0.39671057,-0.48371494
3.7637637,2.8374608,0.6990984,0.39642406,-0.484375
3.7737737,2.8398733,0.7009844,0.3961146,-0.48504746
3.7837837,2.842148,0.702895,0.39578164,-0.48573184
3.7937937,2.844287,0.7048278,0.39542526,-0.48642766
3.803804,2.8462896,0.7067809,0.39504504,-0.48713514
3.813814,2.8481567,0.70875233,0.39464036,-0.48785374
3.823824,2.8498888,0.7107396,0.39421135,-0.4885831
3.833834,2.851486,0.71274155,0.39375728,-0.4893228
3.843844,2.8529491,0.7147557,0.39327857,-0.49007297
3.853854,2.8542795,0.71678096,0.3927747,-0.49083346
3.863864,2.8554766,0.71881515,0.39224547,-0.49160355
3.873874,2.8565423,0.72085696,0.39169085,-0.49238303
3.883884,2.8574765,0.72290474,0.39111048,-0.49317217
3.893894,2.8582804,0.7249569,0.39050454,-0.49397022
3.903904,2.8589547,0.72701216,0.38987255,-0.4947769
3.913914,2.8595002,0.72906953,0.38921487,-0.49559268
3.923924,2.8599179,0.7311271,0.38853103,-0.49641642
3.933934,2.8602083,0.73318374,0.38782117,-0.4972486
3.943944,2.8603728,0.7352389,0.38708553,-0.49808872
3.953954,2.8604124,0.73729074,0.38632354,-0.49893647
3.963964,2.860328,0.73933864,0.38553566,-0.49979192
